customer_id,store_id,first_name,last_name,email,address_id,active_bool,create_date,last_update,active
524,1.0,Jared,Ely,jared.ely@sakilacustomer.org,530.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
1,1.0,Mary,Smith,mary.smith@sakilacustomer.org,5.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
2,1.0,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
3,1.0,Linda,Williams,linda.williams@sakilacustomer.org,7.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
4,2.0,Barbara,Jones,barbara.jones@sakilacustomer.org,8.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
5,1.0,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
6,2.0,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
7,1.0,Maria,Miller,maria.miller@sakilacustomer.org,11.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
8,2.0,Susan,Wilson,susan.wilson@sakilacustomer.org,12.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
9,2.0,Margaret,Moore,margaret.moore@sakilacustomer.org,13.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
10,1.0,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
11,2.0,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
12,1.0,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
13,2.0,Karen,Jackson,karen.jackson@sakilacustomer.org,17.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
14,2.0,Betty,White,betty.white@sakilacustomer.org,18.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
15,1.0,Helen,Harris,helen.harris@sakilacustomer.org,19.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
16,2.0,Sandra,Martin,sandra.martin@sakilacustomer.org,20.0,t,2006-02-14,2013-05-26 14:49:45.738,0.0
17,1.0,Donna,Thompson,donna.thompson@sakilacustomer.org,21.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
18,2.0,Carol,Garcia,carol.garcia@sakilacustomer.org,22.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
19,1.0,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
20,2.0,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
21,1.0,Michelle,Clark,michelle.clark@sakilacustomer.org,25.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
22,1.0,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
23,2.0,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
24,2.0,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
25,1.0,Deborah,Walker,deborah.walker@sakilacustomer.org,29.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
26,2.0,Jessica,Hall,jessica.hall@sakilacustomer.org,30.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
27,2.0,Shirley,Allen,shirley.allen@sakilacustomer.org,31.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
28,1.0,Cynthia,Young,cynthia.young@sakilacustomer.org,32.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
29,2.0,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
30,1.0,Melissa,King,melissa.king@sakilacustomer.org,34.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
31,2.0,Brenda,Wright,brenda.wright@sakilacustomer.org,35.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
32,1.0,Amy,Lopez,amy.lopez@sakilacustomer.org,36.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
33,2.0,Anna,Hill,anna.hill@sakilacustomer.org,37.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
34,2.0,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
35,2.0,Virginia,Green,virginia.green@sakilacustomer.org,39.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
36,2.0,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
37,1.0,Pamela,Baker,pamela.baker@sakilacustomer.org,41.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
38,1.0,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
39,1.0,Debra,Nelson,debra.nelson@sakilacustomer.org,43.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
40,2.0,Amanda,Carter,amanda.carter@sakilacustomer.org,44.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
41,1.0,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
42,2.0,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
43,2.0,Christine,Roberts,christine.roberts@sakilacustomer.org,47.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
44,1.0,Marie,Turner,marie.turner@sakilacustomer.org,48.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
45,1.0,Janet,Phillips,janet.phillips@sakilacustomer.org,49.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
46,2.0,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
47,1.0,Frances,Parker,frances.parker@sakilacustomer.org,51.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
48,1.0,Ann,Evans,ann.evans@sakilacustomer.org,52.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
49,2.0,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
50,1.0,Diane,Collins,diane.collins@sakilacustomer.org,54.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
51,1.0,Alice,Stewart,alice.stewart@sakilacustomer.org,55.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
52,1.0,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
53,1.0,Heather,Morris,heather.morris@sakilacustomer.org,57.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
54,1.0,Teresa,Rogers,teresa.rogers@sakilacustomer.org,58.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
55,2.0,Doris,Reed,doris.reed@sakilacustomer.org,59.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
56,1.0,Gloria,Cook,gloria.cook@sakilacustomer.org,60.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
57,2.0,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,61.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
58,1.0,Jean,Bell,jean.bell@sakilacustomer.org,62.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
59,1.0,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,63.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
60,1.0,Mildred,Bailey,mildred.bailey@sakilacustomer.org,64.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
61,2.0,Katherine,Rivera,katherine.rivera@sakilacustomer.org,65.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
62,1.0,Joan,Cooper,joan.cooper@sakilacustomer.org,66.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
63,1.0,Ashley,Richardson,ashley.richardson@sakilacustomer.org,67.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
64,2.0,Judith,Cox,judith.cox@sakilacustomer.org,68.0,t,2006-02-14,2013-05-26 14:49:45.738,0.0
65,2.0,Rose,Howard,rose.howard@sakilacustomer.org,69.0,t,2006-02-14,2013-05-26 14:49:45.738,1.0
